,dataset,model,layer,roi,subject,rsa,cka,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
73,TVSD,MODEL_B,language_model-layers-11,V1,monkeyN,0.0293642424972343,0.0539684209305776,0.00642975,0.00065865,-47.2205904,-0.49667445,0.04124483,0.04112898
74,TVSD,MODEL_B,language_model-layers-11,V4,monkeyF,0.052825267060855,0.0970576517409281,-0.00717443,-0.00072344,-60.45097419,-0.66807245,0.04976569,0.03603869
75,TVSD,MODEL_B,language_model-layers-11,V4,monkeyN,0.054851182965361,0.1088102230363728,0.01022934,0.00104349,-74.45774897,-0.80954272,0.04204889,0.05053901
76,TVSD,MODEL_B,language_model-layers-11,IT,monkeyF,0.0909316927348116,0.1670714743281069,-0.00657958,-0.00065316,-100.57016813,-1.13750073,0.12490843,0.1153902
77,TVSD,MODEL_B,language_model-layers-11,IT,monkeyN,0.0514419913584398,0.0906022897216107,0.01306879,0.00131328,-68.36726501,-0.75684689,0.01459239,0.01408381
78,TVSD,MODEL_B,language_model-layers-16,V1,monkeyF,0.0226188280681579,0.0427111842366204,-0.00010025,-5.84e-06,-217.6768091,-2.41569657,0.00700485,-0.00037709
79,TVSD,MODEL_B,language_model-layers-16,V1,monkeyN,0.024896724009723,0.0561627700966739,0.00047403,3.091e-05,-142.26726738,-1.49954297,0.03819434,0.03890501
80,TVSD,MODEL_B,language_model-layers-16,V4,monkeyF,0.0606424998329823,0.0851648603226005,0.01528924,0.00156728,-173.87350469,-1.91129097,0.00265531,0.0063602
81,TVSD,MODEL_B,language_model-layers-16,V4,monkeyN,0.0612422264159729,0.0964159077711891,0.00036661,4.575e-05,-218.00235446,-2.36388762,0.07115322,0.07188503
82,TVSD,MODEL_B,language_model-layers-16,IT,monkeyF,0.0918926503015554,0.1487091159684402,-0.00357877,-0.00039565,-302.24666723,-3.42914594,0.07445438,0.06105662
83,TVSD,MODEL_B,language_model-layers-16,IT,monkeyN,0.0473888157656527,0.0756905447276208,0.00841265,0.00086243,-204.13093714,-2.26441759,0.01320777,0.03007703
84,TVSD,MODEL_B,visual-blocks-2,V1,monkeyF,0.123793108712064,0.1787569164161085,0.53033546,0.05458608,0.23505495,0.00248961,0.238047,0.44712103
85,TVSD,MODEL_B,visual-blocks-2,V1,monkeyN,0.081532971701203,0.1386306482078299,0.54841202,0.05559552,0.24020498,0.00247078,0.19277605,0.48383304
86,TVSD,MODEL_B,visual-blocks-2,V4,monkeyF,0.0447916385998015,0.0735374823418968,0.47154262,0.04804079,0.18231024,0.00189123,0.25563047,0.34344795
87,TVSD,MODEL_B,visual-blocks-2,V4,monkeyN,0.0464570756516292,0.0675005486094194,0.46713245,0.04772356,0.17259843,0.00179946,0.22897905,0.31802523
88,TVSD,MODEL_B,visual-blocks-2,IT,monkeyF,0.0760454741346747,0.0786637346343334,0.37926007,0.03929238,0.12409986,0.00132403,0.19480853,0.15893158
89,TVSD,MODEL_B,visual-blocks-2,IT,monkeyN,0.0452536734512201,0.0232672414959381,0.42143038,0.04300492,0.13831877,0.00143537,0.20660513,0.22300308
90,TVSD,MODEL_B,visual-blocks-6,V1,monkeyF,0.1295507358063948,0.1731066242218888,0.64280531,0.06610512,0.40782002,0.00429492,0.46457622,0.64050466
91,TVSD,MODEL_B,visual-blocks-6,V1,monkeyN,0.0813851361929172,0.1239761538525358,0.69037291,0.06995696,0.45991836,0.00472067,0.38275142,0.70928496
92,TVSD,MODEL_B,visual-blocks-6,V4,monkeyF,0.0675186711907766,0.0894732624586844,0.54628114,0.05562437,0.23719589,0.00245091,0.32556356,0.48268816
93,TVSD,MODEL_B,visual-blocks-6,V4,monkeyN,0.0620884826086638,0.0788059843110083,0.52915105,0.05403069,0.22363027,0.00232731,0.30747408,0.33962578
94,TVSD,MODEL_B,visual-blocks-6,IT,monkeyF,0.1080483845316917,0.0971039681483574,0.46729786,0.04836873,0.18299626,0.00195786,0.27164621,0.25577476
95,TVSD,MODEL_B,visual-blocks-6,IT,monkeyN,0.0512479853709219,0.0394784254227067,0.59188624,0.06044109,0.25166209,0.00262438,0.37014408,0.58602188
96,TVSD,MODEL_B,visual-blocks-10,V1,monkeyF,0.0925079242906709,0.0497135195920588,0.4828294,0.04953583,0.1318305,0.00126512,0.31856833,0.5379398
97,TVSD,MODEL_B,visual-blocks-10,V1,monkeyN,0.0403642514796205,0.0135579047756539,0.50975796,0.05160621,0.23191013,0.00234528,0.22501636,0.54351915
98,TVSD,MODEL_B,visual-blocks-10,V4,monkeyF,0.0355964681583925,0.0098806158566805,0.34395448,0.0349579,0.00111564,-0.00012554,0.16310881,0.37974767
99,TVSD,MODEL_B,visual-blocks-10,V4,monkeyN,0.040579617910513,0.008767429997329,0.29980934,0.03055471,-0.04014235,-0.00051386,0.13770123,0.19178281
100,TVSD,MODEL_B,visual-blocks-10,IT,monkeyF,0.0816784050797381,0.0132416247785246,0.2622954,0.02706338,-0.10734648,-0.00130806,0.20846121,0.15769515
101,TVSD,MODEL_B,visual-blocks-10,IT,monkeyN,0.0354700100119781,-0.0046213490589765,0.32788958,0.03334739,-0.03736926,-0.00055689,0.08629419,0.24928631
102,TVSD,MODEL_B,visual-blocks-14,V1,monkeyF,0.0637810430781947,0.0321124160313541,0.30726106,0.03149846,-0.03503361,-0.0004794,0.12699411,0.27482692
103,TVSD,MODEL_B,visual-blocks-14,V1,monkeyN,0.0305409091191684,0.0011069392646564,0.40819224,0.04134884,0.14580596,0.00148037,0.07659525,0.39886877
104,TVSD,MODEL_B,visual-blocks-14,V4,monkeyF,0.0361481231573624,0.0050264764834008,0.45863184,0.04661005,0.16081575,0.00156962,0.29696773,0.47159633
105,TVSD,MODEL_B,visual-blocks-14,V4,monkeyN,0.0387090356734138,0.0075614482738863,0.46810983,0.04779338,0.17204345,0.00173635,0.2992062,0.40432023
106,TVSD,MODEL_B,visual-blocks-14,IT,monkeyF,0.097130590045307,0.0118942157213418,0.44366961,0.04583679,0.13575892,0.00135756,0.40730462,0.47389205
107,TVSD,MODEL_B,visual-blocks-14,IT,monkeyN,0.0407688253769667,0.0004499191492736,0.55122928,0.05623237,0.26419915,0.00266803,0.37706011,0.60996133
108,TVSD,MODEL_B,visual-blocks-18,V1,monkeyF,0.0567494320897759,0.0347562282441111,0.40389575,0.04145927,0.12061264,0.00121893,0.21072636,0.36034348
