model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
MODEL_B,language_model-layers-8,TVSD,monkeyN,IT,0.01888604,0.00188652,-0.03068193,-0.00034956,0.01379136,0.01896954
MODEL_B,language_model-layers-8,TVSD,monkeyN,V4,0.00191611,0.00019882,-0.01782985,-0.00019345,0.00954901,0.01471379
MODEL_B,language_model-layers-8,TVSD,monkeyN,V1,0.00271355,0.00027239,-0.01859982,-0.00019664,0.01391987,0.00186845
MODEL_B,language_model-layers-11,TVSD,monkeyF,IT,0.01674412,0.00166227,-0.06241544,-0.00071848,0.03649632,0.03401405
MODEL_B,language_model-layers-11,TVSD,monkeyF,V4,0.01829512,0.00187445,-0.05857194,-0.00064621,0.02793875,0.03227536
MODEL_B,language_model-layers-11,TVSD,monkeyF,V1,0.00314117,0.00034092,-0.02510619,-0.00027648,0.00665926,0.00031121
MODEL_B,language_model-layers-11,TVSD,monkeyN,IT,0.02059708,0.00207435,-0.05627565,-0.00062877,0.03428797,0.06232888
MODEL_B,language_model-layers-11,TVSD,monkeyN,V4,0.03287395,0.00338764,-0.03887323,-0.00042093,0.0061945,0.02191976
MODEL_B,language_model-layers-11,TVSD,monkeyN,V1,0.01323746,0.00134136,-0.01244134,-0.00013181,0.01164551,0.02923129
MODEL_B,language_model-layers-16,TVSD,monkeyF,IT,0.01827968,0.00193849,-0.09561625,-0.00108095,0.03824279,0.02782955
MODEL_B,language_model-layers-16,TVSD,monkeyF,V4,0.02232984,0.00225828,-0.11585107,-0.00129508,0.03844769,0.05238177
MODEL_B,language_model-layers-16,TVSD,monkeyF,V1,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,language_model-layers-16,TVSD,monkeyN,IT,0.03248159,0.00328535,-0.0609641,-0.00068665,0.03224555,0.03674252
MODEL_B,language_model-layers-16,TVSD,monkeyN,V4,0.01578319,0.00158544,-0.10139257,-0.00110817,6.09e-06,0.02303002
MODEL_B,language_model-layers-16,TVSD,monkeyN,V1,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-2,TVSD,monkeyF,IT,0.47313971,0.04912059,0.25047615,0.00270101,0.43059257,0.46289645
MODEL_B,visual-blocks-2,TVSD,monkeyF,V4,0.51972771,0.05296264,0.28650285,0.00296728,0.42279062,0.6779653
MODEL_B,visual-blocks-2,TVSD,monkeyF,V1,0.71327942,0.07347887,0.5146971,0.00545751,0.64355435,0.87593735
MODEL_B,visual-blocks-2,TVSD,monkeyN,IT,0.58937878,0.0603371,0.34706367,0.00363405,0.37957679,0.53445101
MODEL_B,visual-blocks-2,TVSD,monkeyN,V4,0.58915208,0.06025199,0.37018841,0.00386786,0.57319352,0.73873032
MODEL_B,visual-blocks-2,TVSD,monkeyN,V1,0.75751713,0.07679409,0.58300137,0.00598978,0.5519052,0.90015284
MODEL_B,visual-blocks-6,TVSD,monkeyF,IT,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-6,TVSD,monkeyF,V4,0.49740619,0.05076094,0.2627411,0.0027364,0.22900576,0.72239223
MODEL_B,visual-blocks-6,TVSD,monkeyF,V1,0.62753675,0.06468318,0.40896876,0.00434178,0.45837598,0.82002077
MODEL_B,visual-blocks-6,TVSD,monkeyN,IT,0.61494689,0.06297415,0.4096553,0.00429549,0.33845945,0.7183972
MODEL_B,visual-blocks-6,TVSD,monkeyN,V4,0.62332357,0.06377483,0.40536211,0.00424197,0.63685792,0.79473574
MODEL_B,visual-blocks-6,TVSD,monkeyN,V1,0.68603872,0.06953022,0.48516346,0.00497974,0.41128978,0.86061725
MODEL_B,visual-blocks-10,TVSD,monkeyF,IT,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-10,TVSD,monkeyF,V4,0.40150962,0.04097634,0.16578375,0.00172335,0.17915387,0.51694084
MODEL_B,visual-blocks-10,TVSD,monkeyF,V1,0.47767672,0.04921177,0.2480109,0.00262986,0.23183317,0.58645079
MODEL_B,visual-blocks-10,TVSD,monkeyN,IT,-0.00392326,-0.00040056,-0.00036028,-3.95e-06,-0.01777973,-0.0
MODEL_B,visual-blocks-10,TVSD,monkeyN,V4,0.00738694,0.00073986,-3.213e-05,-4.2e-07,-0.00508404,0.0
MODEL_B,visual-blocks-10,TVSD,monkeyN,V1,0.58553179,0.0593543,0.35888699,0.00368763,0.20772729,0.70330263
MODEL_B,visual-blocks-14,TVSD,monkeyF,IT,0.00722738,0.00073811,-0.00452154,-5.31e-05,0.00649292,-0.00909118
MODEL_B,visual-blocks-14,TVSD,monkeyF,V4,nan,nan,-0.0,-0.0,nan,0.0
MODEL_B,visual-blocks-14,TVSD,monkeyF,V1,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-14,TVSD,monkeyN,IT,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-14,TVSD,monkeyN,V4,nan,nan,-0.0,-0.0,nan,0.0
MODEL_B,visual-blocks-14,TVSD,monkeyN,V1,nan,nan,-0.0,-0.0,nan,-0.0
