model,layer,dataset,subject,roi,dim,pearson_r,pearson_r_nc,ev,ev_nc
MODEL_A,layer1-0,TVSD,monkeyF,IT,73,0.13785489,0.01384332,0.01767384,0.00017822
MODEL_A,layer1-0,TVSD,monkeyF,IT,74,0.3957044,0.04052034,0.15535326,0.00162901
MODEL_A,layer1-0,TVSD,monkeyF,IT,75,0.31120625,0.03313969,0.09646804,0.00109392
MODEL_A,layer1-0,TVSD,monkeyF,IT,76,0.25242312,0.02718339,0.06043961,0.00070092
MODEL_A,layer1-0,TVSD,monkeyF,IT,77,0.18746474,0.01947541,0.03311169,0.00035737
MODEL_A,layer1-0,TVSD,monkeyF,IT,78,0.21413358,0.02248151,0.04574074,0.00050418
MODEL_A,layer1-0,TVSD,monkeyF,IT,79,0.11192079,0.01124621,0.01227669,0.00012396
MODEL_A,layer1-0,TVSD,monkeyF,IT,80,0.3751115,0.03807024,0.13664214,0.00140746
MODEL_A,layer1-0,TVSD,monkeyF,IT,81,0.38627881,0.04029709,0.14901704,0.00162174
MODEL_A,layer1-0,TVSD,monkeyF,IT,82,0.2291666,0.02434027,0.05239603,0.00059108
MODEL_A,layer1-0,TVSD,monkeyF,IT,83,0.13877097,0.01415853,0.01922845,0.00020016
MODEL_A,layer1-0,TVSD,monkeyF,IT,84,0.16790575,0.01863369,0.02804783,0.00034543
MODEL_A,layer1-0,TVSD,monkeyF,IT,85,0.22896427,0.0244859,0.05235844,0.0005988
MODEL_A,layer1-0,TVSD,monkeyF,IT,86,-0.04010594,-0.00452254,-0.00649292,-8.256e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,87,0.28335486,0.02856586,0.07328052,0.00074477
MODEL_A,layer1-0,TVSD,monkeyF,IT,88,0.10220069,0.01031156,-0.01154858,-0.00011756
MODEL_A,layer1-0,TVSD,monkeyF,IT,89,-0.05746555,-0.00584176,-0.0015727,-1.625e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,90,0.17821681,0.0184484,0.00553504,5.931e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,91,0.10112592,0.01023145,-0.01095553,-0.00011215
MODEL_A,layer1-0,TVSD,monkeyF,IT,92,0.20054326,0.02077233,0.0354284,0.00038011
MODEL_A,layer1-0,TVSD,monkeyF,IT,93,0.5262798,0.05331157,0.24931243,0.00255831
MODEL_A,layer1-0,TVSD,monkeyF,IT,94,0.36432798,0.03718283,0.12559136,0.00130816
MODEL_A,layer1-0,TVSD,monkeyF,IT,95,0.24761904,0.02696491,0.06130822,0.00072702
MODEL_A,layer1-0,TVSD,monkeyF,IT,96,0.11390559,0.01157849,0.01175053,0.00012141
MODEL_A,layer1-0,TVSD,monkeyF,IT,97,0.36308149,0.03720379,0.12253718,0.00128657
MODEL_A,layer1-0,TVSD,monkeyF,IT,98,0.07378309,0.00792751,0.00304342,3.513e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,99,0.10190599,0.01089782,0.00979448,0.00011201
MODEL_A,layer1-0,TVSD,monkeyF,IT,100,0.10291858,0.01126773,0.00361713,4.336e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,101,0.42927156,0.0438856,0.14419685,0.00150708
MODEL_A,layer1-0,TVSD,monkeyF,IT,102,0.16066764,0.01621512,0.00727492,7.41e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,103,0.14967566,0.01555043,0.00910918,9.832e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,104,0.14496447,0.016081,0.0038102,4.689e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,105,0.09257296,0.00976709,0.00856756,9.537e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,106,0.1334635,0.0138649,0.01569993,0.00016944
MODEL_A,layer1-0,TVSD,monkeyF,IT,107,0.08246318,0.00841968,0.00372181,3.88e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,108,0.05366192,0.00542341,-0.00698643,-7.136e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,109,0.01812096,0.00186165,-0.0046919,-4.952e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,110,0.17842813,0.01996143,0.01876631,0.00023487
MODEL_A,layer1-0,TVSD,monkeyF,IT,111,0.12953873,0.01472097,0.01432694,0.00018502
MODEL_A,layer1-0,TVSD,monkeyF,IT,112,0.20537283,0.02071476,0.0421769,0.00042909
MODEL_A,layer1-0,TVSD,monkeyF,IT,113,0.12417427,0.01262766,0.01128397,0.00011669
MODEL_A,layer1-0,TVSD,monkeyF,IT,114,0.23407029,0.02401316,0.05362746,0.00056441
MODEL_A,layer1-0,TVSD,monkeyF,IT,115,0.25492182,0.02601672,0.05494538,0.0005723
MODEL_A,layer1-0,TVSD,monkeyF,IT,116,0.0653315,0.00682477,0.00364362,3.976e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,117,-0.01555481,-0.00158447,-0.02649659,-0.00027493
MODEL_A,layer1-0,TVSD,monkeyF,IT,118,-0.01329832,-0.00135588,-0.0078314,-8.141e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,119,0.01461584,0.00160834,-0.01316432,-0.00015941
MODEL_A,layer1-0,TVSD,monkeyF,IT,120,0.10895768,0.01182365,0.00180435,2.125e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,121,0.14361745,0.01619229,0.02040753,0.00025941
MODEL_A,layer1-0,TVSD,monkeyF,IT,122,0.01138438,0.00122513,-0.01189678,-0.00013778
MODEL_A,layer1-0,TVSD,monkeyF,IT,123,-0.04706016,-0.0048173,-0.00912387,-9.56e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,124,-0.03371479,-0.00339918,-0.03885023,-0.00039491
MODEL_A,layer1-0,TVSD,monkeyF,IT,125,-0.06610117,-0.0068104,-0.01070566,-0.00011364
MODEL_A,layer1-0,TVSD,monkeyF,IT,126,-0.14554193,-0.01526232,-0.00486557,-5.351e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,127,0.07694527,0.00856935,-0.0012564,-1.558e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,128,0.12819686,0.01445836,0.01383219,0.00017594
MODEL_A,layer1-0,TVSD,monkeyF,IT,129,0.17212312,0.0194511,0.02960343,0.00037805
MODEL_A,layer1-0,TVSD,monkeyF,IT,130,0.01125802,0.00115402,-0.00117654,-1.236e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,131,0.13356873,0.01346283,0.01645256,0.00016715
MODEL_A,layer1-0,TVSD,monkeyF,IT,132,0.30773377,0.0326511,0.0943426,0.00106207
MODEL_A,layer1-0,TVSD,monkeyF,IT,133,0.19903172,0.02052145,0.03528767,0.00037514
MODEL_A,layer1-0,TVSD,monkeyF,IT,134,0.12175822,0.01385349,0.00710072,9.192e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,135,0.24686228,0.02520365,0.05883397,0.00061326
MODEL_A,layer1-0,TVSD,monkeyF,IT,136,0.28363387,0.0289711,0.08031467,0.00083793
MODEL_A,layer1-0,TVSD,monkeyF,IT,137,0.18934923,0.01902861,0.03268669,0.00033011
MODEL_A,layer1-0,TVSD,monkeyF,IT,138,0.25621413,0.02735528,0.06014668,0.00068563
MODEL_A,layer1-0,TVSD,monkeyF,IT,139,0.22330481,0.02360742,0.03964403,0.00044308
MODEL_A,layer1-0,TVSD,monkeyF,IT,140,0.17541173,0.01853797,0.01267065,0.00014152
MODEL_A,layer1-0,TVSD,monkeyF,IT,141,0.28322047,0.02907359,0.07192443,0.00075792
MODEL_A,layer1-0,TVSD,monkeyF,IT,142,0.25359538,0.02787193,0.06258219,0.00075597
MODEL_A,layer1-0,TVSD,monkeyF,IT,143,0.11794407,0.01191461,0.01324138,0.00013513
MODEL_A,layer1-0,TVSD,monkeyF,IT,144,0.32406446,0.03272756,0.09403936,0.00095912
MODEL_A,layer1-0,TVSD,monkeyF,IT,145,0.01561859,0.00156745,-0.00123995,-1.249e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,146,0.31926202,0.03247852,0.10028207,0.00103782
MODEL_A,layer1-0,TVSD,monkeyF,IT,147,0.36181678,0.03668841,0.13089032,0.00134582
MODEL_A,layer1-0,TVSD,monkeyF,IT,148,0.24932727,0.02645209,0.04542794,0.00051133
MODEL_A,layer1-0,TVSD,monkeyF,IT,149,0.28539546,0.02994387,0.07861704,0.00086544
MODEL_A,layer1-0,TVSD,monkeyF,IT,150,0.31639263,0.03296552,0.09521485,0.00103365
MODEL_A,layer1-0,TVSD,monkeyF,IT,151,0.2592515,0.02721659,0.06143239,0.00067705
MODEL_A,layer1-0,TVSD,monkeyF,IT,152,0.32188384,0.03253699,0.09504295,0.00097113
MODEL_A,layer1-0,TVSD,monkeyF,IT,153,0.20966296,0.02123957,0.04055804,0.00041622
MODEL_A,layer1-0,TVSD,monkeyF,IT,154,0.30663165,0.03186981,0.09032265,0.00097571
MODEL_A,layer1-0,TVSD,monkeyF,IT,155,0.2967712,0.0301057,0.08130996,0.00083675
MODEL_A,layer1-0,TVSD,monkeyF,IT,156,0.43765219,0.04502099,0.19142472,0.00202568
MODEL_A,layer1-0,TVSD,monkeyF,IT,157,0.34415591,0.03783512,0.10265829,0.00124072
MODEL_A,layer1-0,TVSD,monkeyF,IT,158,0.25864163,0.02673942,0.06599413,0.00070536
MODEL_A,layer1-0,TVSD,monkeyF,IT,159,0.31578285,0.03198766,0.09346658,0.00095906
MODEL_A,layer1-0,TVSD,monkeyF,IT,160,0.19403903,0.01973896,0.03076575,0.00031837
MODEL_A,layer1-0,TVSD,monkeyF,IT,161,0.44265763,0.04722884,0.19520416,0.00222212
MODEL_A,layer1-0,TVSD,monkeyF,IT,162,0.54376048,0.05586503,0.29353775,0.00309834
MODEL_A,layer1-0,TVSD,monkeyF,IT,163,0.49391262,0.05104909,0.24144179,0.00257922
MODEL_A,layer1-0,TVSD,monkeyF,IT,164,0.38045355,0.04295647,0.14357922,0.0018304
MODEL_A,layer1-0,TVSD,monkeyF,IT,165,0.3256416,0.03356935,0.09484334,0.00100789
MODEL_A,layer1-0,TVSD,monkeyF,IT,166,0.35108192,0.03622405,0.11146596,0.00118664
MODEL_A,layer1-0,TVSD,monkeyF,IT,167,0.47282566,0.0477794,0.21370995,0.00218225
MODEL_A,layer1-0,TVSD,monkeyF,IT,168,0.57141444,0.05806438,0.31613956,0.00326435
MODEL_A,layer1-0,TVSD,monkeyF,IT,169,0.58743952,0.06223741,0.34460781,0.00386814
MODEL_A,layer1-0,TVSD,monkeyF,IT,170,0.48463677,0.05304149,0.22734082,0.00272318
MODEL_A,layer1-0,TVSD,monkeyF,IT,171,0.26774673,0.02752665,0.06879639,0.00072715
MODEL_A,layer1-0,TVSD,monkeyF,IT,172,0.24633947,0.02510599,0.05983846,0.00062154
MODEL_A,layer1-0,TVSD,monkeyF,IT,173,0.57412214,0.05799563,0.28301301,0.00288794
MODEL_A,layer1-0,TVSD,monkeyF,IT,174,0.62817309,0.06374292,0.37776958,0.00388984
MODEL_A,layer1-0,TVSD,monkeyF,IT,175,0.55037563,0.05892706,0.29907864,0.00342844
MODEL_A,layer1-0,TVSD,monkeyF,IT,176,0.44963968,0.04971778,0.20137905,0.00246212
MODEL_A,layer1-0,TVSD,monkeyF,IT,177,0.51314835,0.05628432,0.26316823,0.00316608
MODEL_A,layer1-0,TVSD,monkeyF,IT,178,0.34840324,0.03917423,0.11095912,0.00140281
MODEL_A,layer1-0,TVSD,monkeyF,IT,179,0.29280269,0.03254232,0.07901269,0.00097599
MODEL_A,layer1-0,TVSD,monkeyF,IT,180,0.59404134,0.06303176,0.35262527,0.00397008
MODEL_A,layer1-0,TVSD,monkeyF,IT,181,0.58161003,0.06213188,0.33823829,0.00386001
MODEL_A,layer1-0,TVSD,monkeyF,IT,182,0.39052406,0.03965877,0.15249161,0.00157264
MODEL_A,layer1-0,TVSD,monkeyF,IT,183,0.53685268,0.05458213,0.28208084,0.00291584
MODEL_A,layer1-0,TVSD,monkeyF,IT,184,0.50958659,0.05182608,0.25771623,0.00266565
MODEL_A,layer1-0,TVSD,monkeyF,IT,185,0.48797628,0.04949,0.23637427,0.0024313
MODEL_A,layer1-0,TVSD,monkeyF,IT,186,0.38324936,0.03899077,0.14613542,0.00151257
MODEL_A,layer1-0,TVSD,monkeyF,IT,187,0.62810708,0.06670824,0.38973841,0.00439607
MODEL_A,layer1-0,TVSD,monkeyF,IT,188,0.60369813,0.06340336,0.36094866,0.00398135
MODEL_A,layer1-0,TVSD,monkeyF,IT,189,0.54819925,0.05722581,0.29665976,0.0032327
MODEL_A,layer1-0,TVSD,monkeyF,IT,190,0.54929968,0.05561732,0.29546288,0.00302904
MODEL_A,layer1-0,TVSD,monkeyF,IT,191,0.61571347,0.06273103,0.37636055,0.00390671
MODEL_A,layer1-0,TVSD,monkeyF,IT,192,0.542575,0.05469662,0.25704237,0.0026122
MODEL_A,layer1-0,TVSD,monkeyF,IT,193,0.48306832,0.0485512,0.20210479,0.00204155
MODEL_A,layer1-0,TVSD,monkeyF,IT,194,0.6034255,0.0645341,0.36020976,0.0041199
MODEL_A,layer1-0,TVSD,monkeyF,IT,195,0.62545781,0.06514781,0.3911957,0.00424422
MODEL_A,layer1-0,TVSD,monkeyF,IT,196,0.38931778,0.03947791,0.13071651,0.0013441
MODEL_A,layer1-0,TVSD,monkeyF,IT,197,0.58161974,0.0599224,0.33753806,0.0035828
