dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer3-5,V3v,subj06,0.13606773612487383,0.1847411601335875
NSD,MODEL_A,layer3-5,V3v,subj07,0.13147557475699434,0.1441798942832876
NSD,MODEL_A,layer3-5,V3v,subj08,0.10609257863398937,0.1472610573592096
NSD,MODEL_A,layer3-5,hV4,subj01,0.1841612528805375,0.1974688086862295
NSD,MODEL_A,layer3-5,hV4,subj02,0.14761198545495596,0.2070322363504787
NSD,MODEL_A,layer3-5,hV4,subj03,0.10585071231583128,0.11956818657724792
NSD,MODEL_A,layer3-5,hV4,subj04,0.10856842456838271,0.10478462342946783
NSD,MODEL_A,layer3-5,hV4,subj05,0.13268051541425135,0.16344586118311416
NSD,MODEL_A,layer3-5,hV4,subj06,0.10652248483571687,0.08995021643705137
NSD,MODEL_A,layer3-5,hV4,subj07,0.11928559617246041,0.12293874439830842
NSD,MODEL_A,layer3-5,hV4,subj08,0.12763028692913783,0.15693960165764276
NSD,MODEL_A,layer3-5,FFA-1,subj01,0.11253015848724901,0.10749762581691762
NSD,MODEL_A,layer3-5,FFA-1,subj02,0.11802404500773646,0.1191181591877026
NSD,MODEL_A,layer3-5,FFA-1,subj03,0.099470136972209,0.09807367178308439
NSD,MODEL_A,layer3-5,FFA-1,subj04,0.09891510131881615,0.09304363139109358
NSD,MODEL_A,layer3-5,FFA-1,subj05,0.12837830451633878,0.11749944488096047
NSD,MODEL_A,layer3-5,FFA-1,subj06,0.07688755367168812,0.07050169312274433
NSD,MODEL_A,layer3-5,FFA-1,subj07,0.10449143800959877,0.08040000814054701
NSD,MODEL_A,layer3-5,FFA-1,subj08,0.09166809084548018,0.08966169346170345
NSD,MODEL_A,layer3-5,VWFA-1,subj01,0.10612914571704521,0.0833977345479532
NSD,MODEL_A,layer3-5,VWFA-1,subj02,0.10580819495887875,0.11504945485485908
NSD,MODEL_A,layer3-5,VWFA-1,subj03,0.08260662631454525,0.054471864385947644
NSD,MODEL_A,layer3-5,VWFA-1,subj04,0.08398126619482335,0.041382143757234376
NSD,MODEL_A,layer3-5,VWFA-1,subj05,0.14514783346731028,0.113679836219511
NSD,MODEL_A,layer3-5,VWFA-1,subj06,0.09652384634976265,0.059875797719984136
NSD,MODEL_A,layer3-5,VWFA-1,subj07,0.12885058333597832,0.11742966487744806
NSD,MODEL_A,layer3-5,VWFA-1,subj08,0.05688167061559815,0.03588363341738239
NSD,MODEL_A,layer3-5,PPA,subj01,0.18295296808084607,0.1446561456473721
NSD,MODEL_A,layer3-5,PPA,subj02,0.18748047845329138,0.1752070993206823
NSD,MODEL_A,layer3-5,PPA,subj03,0.1570341946965927,0.13976914153403133
NSD,MODEL_A,layer3-5,PPA,subj04,0.12671062636825603,0.13432314582206417
NSD,MODEL_A,layer3-5,PPA,subj05,0.18520980397873602,0.1757388823659309
NSD,MODEL_A,layer3-5,PPA,subj06,0.16570477107585985,0.13267799062198427
NSD,MODEL_A,layer3-5,PPA,subj07,0.17573258320803917,0.12361233144766688
NSD,MODEL_A,layer3-5,PPA,subj08,0.1397032081246642,0.12026241697638038
NSD,MODEL_A,layer3-5,OPA,subj01,0.19615501925509024,0.12169830434712449
NSD,MODEL_A,layer3-5,OPA,subj02,0.18257709021516486,0.13894410195877072
NSD,MODEL_A,layer3-5,OPA,subj03,0.12302763193358383,0.09060562191177529
NSD,MODEL_A,layer3-5,OPA,subj04,0.1150921084955949,0.09202403906003843
NSD,MODEL_A,layer3-5,OPA,subj05,0.1718310525184487,0.15647531850839336
NSD,MODEL_A,layer3-5,OPA,subj06,0.12255892199054241,0.09008012083162395
NSD,MODEL_A,layer3-5,OPA,subj07,0.1644193073097262,0.11743556273069986
NSD,MODEL_A,layer3-5,OPA,subj08,0.10732318072876967,0.0697855121488112
NSD,MODEL_A,layer3-5,EBA,subj01,0.12374820304572887,0.11153850419314049
NSD,MODEL_A,layer3-5,EBA,subj02,0.12770951533848895,0.13535470917858053
NSD,MODEL_A,layer3-5,EBA,subj03,0.13069933177512383,0.11269386193939498
NSD,MODEL_A,layer3-5,EBA,subj04,0.0958169383529185,0.09128684490013614
NSD,MODEL_A,layer3-5,EBA,subj05,0.13399693419935307,0.1342381978502049
NSD,MODEL_A,layer3-5,EBA,subj06,0.10248143250752603,0.07942153724976261
NSD,MODEL_A,layer3-5,EBA,subj07,0.11457403818408574,0.10291082919320527
NSD,MODEL_A,layer3-5,EBA,subj08,0.08856305425648917,0.07356245782025608
NSD,MODEL_A,layer3-10,V1v,subj01,0.20128678006711995,0.25195583718641307
NSD,MODEL_A,layer3-10,V1v,subj02,0.1807674587730329,0.2494388776299774
NSD,MODEL_A,layer3-10,V1v,subj03,0.14509121076893544,0.1823186995885185
NSD,MODEL_A,layer3-10,V1v,subj04,0.19619040345480004,0.22348207291653982
NSD,MODEL_A,layer3-10,V1v,subj05,0.14689433643632158,0.23315767044864316
NSD,MODEL_A,layer3-10,V1v,subj06,0.16512421935483476,0.2089351541431758
NSD,MODEL_A,layer3-10,V1v,subj07,0.16426957192764546,0.1889470086595113
NSD,MODEL_A,layer3-10,V1v,subj08,0.14845692701187807,0.19493904037227444
NSD,MODEL_A,layer3-10,V2v,subj01,0.18686300518775747,0.2457817343526354
NSD,MODEL_A,layer3-10,V2v,subj02,0.1853683891740182,0.263036518196884
