dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer2-0,PPA,subj05,0.10512338778739935,0.0762489526226727
NSD,MODEL_A,layer2-0,PPA,subj06,0.09075749037717001,0.053521148847037486
NSD,MODEL_A,layer2-0,PPA,subj07,0.09817546832426935,0.04627324097379457
NSD,MODEL_A,layer2-0,PPA,subj08,0.08456351364168026,0.05690620652679459
NSD,MODEL_A,layer2-0,OPA,subj01,0.12501625760229088,0.06852109597335652
NSD,MODEL_A,layer2-0,OPA,subj02,0.10269469218513305,0.06480143482684116
NSD,MODEL_A,layer2-0,OPA,subj03,0.07136511611669169,0.039421303054338705
NSD,MODEL_A,layer2-0,OPA,subj04,0.05901430446658404,0.04106972412853313
NSD,MODEL_A,layer2-0,OPA,subj05,0.09152215525625891,0.06830228931747184
NSD,MODEL_A,layer2-0,OPA,subj06,0.07149974507346134,0.042253549674892144
NSD,MODEL_A,layer2-0,OPA,subj07,0.09395201846857634,0.05573228949346001
NSD,MODEL_A,layer2-0,OPA,subj08,0.07285769857288962,0.03931048189088726
NSD,MODEL_A,layer2-0,EBA,subj01,0.06779474255868893,0.057684756624237506
NSD,MODEL_A,layer2-0,EBA,subj02,0.06675864550574243,0.06410413082495549
NSD,MODEL_A,layer2-0,EBA,subj03,0.07401667278157414,0.05640623048259454
NSD,MODEL_A,layer2-0,EBA,subj04,0.049393797581122896,0.043292874846646054
NSD,MODEL_A,layer2-0,EBA,subj05,0.07126459904434362,0.06928242675051476
NSD,MODEL_A,layer2-0,EBA,subj06,0.053858525513576505,0.03873412861473717
NSD,MODEL_A,layer2-0,EBA,subj07,0.06568205705095137,0.06019085421038281
NSD,MODEL_A,layer2-0,EBA,subj08,0.05465634313631033,0.04392015077758979
NSD,MODEL_A,layer3-0,V1v,subj01,0.2732852382620443,0.34998027000316173
NSD,MODEL_A,layer3-0,V1v,subj02,0.24592622871573744,0.3511740842285776
NSD,MODEL_A,layer3-0,V1v,subj03,0.19521635431740358,0.27762632010454774
NSD,MODEL_A,layer3-0,V1v,subj04,0.2282910817770374,0.30455133110866617
NSD,MODEL_A,layer3-0,V1v,subj05,0.19713821683946878,0.3606620190873205
NSD,MODEL_A,layer3-0,V1v,subj06,0.2305973702914538,0.302177744582756
NSD,MODEL_A,layer3-0,V1v,subj07,0.19859283480122908,0.24727379280257794
NSD,MODEL_A,layer3-0,V1v,subj08,0.21122876024218196,0.2930185240010298
NSD,MODEL_A,layer3-0,V2v,subj01,0.22767610077086622,0.29118214186724056
NSD,MODEL_A,layer3-0,V2v,subj02,0.21205036913459807,0.2903138734137323
NSD,MODEL_A,layer3-0,V2v,subj03,0.18017420303757428,0.25848333423428144
