model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_B,language_model-layers-16,TVSD,monkeyF,IT,-0.00357877,-0.00039565,-302.24666723,-3.42914594,0.07445438,0.06105662,,
MODEL_B,language_model-layers-16,TVSD,monkeyF,V4,0.01528924,0.00156728,-173.87350469,-1.91129097,0.00265531,0.0063602,,
MODEL_B,language_model-layers-16,TVSD,monkeyF,V1,-0.00010025,-5.84e-06,-217.6768091,-2.41569657,0.00700485,-0.00037709,,
MODEL_B,language_model-layers-16,TVSD,monkeyN,IT,0.00841265,0.00086243,-204.13093714,-2.26441759,0.01320777,0.03007703,,
MODEL_B,language_model-layers-16,TVSD,monkeyN,V4,0.00036661,4.575e-05,-218.00235446,-2.36388762,0.07115322,0.07188503,,
MODEL_B,language_model-layers-16,TVSD,monkeyN,V1,0.00047403,3.091e-05,-142.26726738,-1.49954297,0.03819434,0.03890501,,
MODEL_B,visual-blocks-2,TVSD,monkeyF,IT,0.37926007,0.03929238,0.12409986,0.00132403,0.19480853,0.15893158,,
MODEL_B,visual-blocks-2,TVSD,monkeyF,V4,0.47154262,0.04804079,0.18231024,0.00189123,0.25563047,0.34344795,,
MODEL_B,visual-blocks-2,TVSD,monkeyF,V1,0.53033546,0.05458608,0.23505495,0.00248961,0.238047,0.44712103,,
MODEL_B,visual-blocks-2,TVSD,monkeyN,IT,0.42143038,0.04300492,0.13831877,0.00143537,0.20660513,0.22300308,,
MODEL_B,visual-blocks-2,TVSD,monkeyN,V4,0.46713245,0.04772356,0.17259843,0.00179946,0.22897905,0.31802523,,
MODEL_B,visual-blocks-2,TVSD,monkeyN,V1,0.54841202,0.05559552,0.24020498,0.00247078,0.19277605,0.48383304,,
MODEL_B,visual-blocks-6,TVSD,monkeyF,IT,0.46729786,0.04836873,0.18299626,0.00195786,0.27164621,0.25577476,,
MODEL_B,visual-blocks-6,TVSD,monkeyF,V4,0.54628114,0.05562437,0.23719589,0.00245091,0.32556356,0.48268816,,
MODEL_B,visual-blocks-6,TVSD,monkeyF,V1,0.64280531,0.06610512,0.40782002,0.00429492,0.46457622,0.64050466,,
MODEL_B,visual-blocks-6,TVSD,monkeyN,IT,0.59188624,0.06044109,0.25166209,0.00262438,0.37014408,0.58602188,,
